transaction_id,customer_id,amount,date
1,20,228,2025-04-21
2,18,273,2025-01-08
3,13,203,2024-08-10
4,12,140,2025-01-17
5,7,93,2025-01-23
6,9,131,2024-11-21
7,1,197,2025-04-10
8,6,211,2025-04-20
9,5,174,2024-07-25
10,11,152,2023-07-06
11,3,50,2025-01-06
12,6,66,2024-06-18
13,13,105,2024-10-15
14,1,131,2024-06-19
15,4,101,2023-11-21
16,10,264,2024-06-15
17,19,86,2023-09-21
18,13,231,2024-08-20
19,17,222,2024-03-10
20,15,252,2023-11-06
21,8,40,2024-12-11
22,11,282,2025-03-29
23,8,76,2023-10-21
24,17,82,2024-05-05
25,3,98,2024-08-19
26,5,294,2023-05-22
27,20,242,2023-06-10
28,13,246,2024-08-01
29,19,281,2024-03-02
30,6,299,2025-03-04
